Customer_ID,Age,Income,Spending_Score,Gender,Education_Level,Marital_Status,Occupation,Home_Ownership,Location,Number_of_Children,Number_of_Vehicles,Preferred_Channel,Membership_Level,Preferred_Brand,Annual_Spending
1,34.08870229,52162.24983,59,Male,High School,Divorced,Technician,Own,Suburban,1,2,Both,Basic,Brand_A,3425.573275
2,37.54168396,22537.08042,73,Male,High School,Married,Craftsman,Rent,Urban,0,1,Both,Premium,Brand_C,2625.532957
3,23.77943447,18476.42167,66,Male,Bachelor,Single,Craftsman,Own,Urban,0,1,Online,Basic,Brand_C,-756.616819
4,50.13203365,37617.83738,19,Female,Master,Divorced,Executive,Own,Suburban,3,2,In-store,VIP,Brand_B,7819.995265
5,20.62799681,64645.46085,22,Female,Master,Single,Craftsman,Rent,Suburban,3,1,In-store,Premium,Brand_B,4272.599935
6,24.71944369,58518.68553,15,Male,PhD,Single,Clerical,Rent,Suburban,2,0,Both,VIP,Brand_B,6802.739295
7,56.04033836,89981.38597,97,Male,PhD,Single,Professional,Own,Urban,4,0,In-store,Basic,Brand_A,1882.360283
8,53.41231573,50021.06624,6,Male,PhD,Single,Technician,Mortgage,Rural,0,0,Both,Premium,Brand_C,8529.070741
9,24.86697881,27791.05493,40,Female,Master,Single,Executive,Own,Rural,2,1,Both,Basic,Brand_C,5461.441539
10,27.51585015,66559.43201,67,Male,Bachelor,Married,Craftsman,Mortgage,Urban,2,1,In-store,VIP,Brand_C,5030.964336
11,14.02695183,59203.57193,26,Male,Master,Married,Technician,Mortgage,Rural,4,0,In-store,Basic,Brand_B,4001.142901
12,40.25806034,83170.00324,25,Male,Bachelor,Divorced,Sales,Mortgage,Urban,0,1,In-store,Basic,Brand_A,6572.829808
13,30.36617409,90643.8804,50,Male,High School,Single,Technician,Own,Suburban,2,1,Online,Basic,Brand_A,3376.213
14,32.98772777,56399.28788,86,Female,PhD,Married,Craftsman,Mortgage,Rural,2,1,Online,VIP,Brand_B,8163.512539
15,54.32764609,83502.67095,72,Female,Master,Married,Sales,Mortgage,Suburban,4,2,Online,Premium,Brand_A,7009.309871
16,19.94090932,66068.80907,80,Female,PhD,Divorced,Craftsman,Rent,Suburban,2,1,Both,Basic,Brand_B,2358.185247
17,14.00646434,24963.29834,45,Male,Bachelor,Divorced,Craftsman,Own,Rural,2,0,Both,Basic,Brand_A,7165.028491
18,40.08863681,71818.24809,43,Female,Bachelor,Single,Sales,Rent,Rural,3,0,In-store,Premium,Brand_A,2284.676664
19,25.85290126,83490.63485,71,Female,High School,Divorced,Technician,Mortgage,Suburban,3,2,Both,VIP,Brand_A,4563.966846
20,52.456761,74208.45144,16,Female,Master,Divorced,Others,Mortgage,Suburban,4,0,In-store,Premium,Brand_B,3441.715739
21,47.41902151,50286.1551,12,Female,Bachelor,Married,Professional,Rent,Rural,4,1,Both,Premium,Brand_B,3562.568699
